time_s,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,x_deg,y_deg,z_deg,qx,qy,qz,qr
0.000000,9.925,-0.395,-0.546,-0.315,0.606,0.296,-49.9,-19.5,-43.1,-63.869,-75.520,-56.648,-0.470,-0.556,-0.417,0.545
0.004444,9.911,-0.433,-0.565,-0.028,0.064,0.076,-49.4,-19.7,-42.9,-63.875,-75.517,-56.655,-0.470,-0.556,-0.417,0.545
0.008889,9.945,-0.419,-0.497,-0.274,-0.149,0.169,-49.7,-20.0,-43.4,-63.874,-75.516,-56.658,-0.470,-0.556,-0.417,0.545
0.013333,9.832,-0.517,-0.535,-0.282,0.190,0.223,-49.9,-20.2,-43.9,-63.874,-75.514,-56.658,-0.470,-0.556,-0.417,0.545
0.017778,9.831,-0.436,-0.447,-0.429,0.016,-0.052,-50.1,-20.3,-44.2,-63.871,-75.513,-56.660,-0.470,-0.556,-0.417,0.545
0.022222,9.839,-0.399,-0.445,0.112,0.510,-0.021,-50.3,-19.9,-43.9,-63.864,-75.512,-56.660,-0.470,-0.556,-0.417,0.545
0.026667,9.886,-0.479,-0.509,0.502,0.534,0.272,-50.4,-19.6,-43.6,-63.856,-75.510,-56.658,-0.470,-0.556,-0.417,0.545
0.031111,9.901,-0.428,-0.605,0.318,0.033,-0.037,-50.6,-19.4,-43.3,-63.854,-75.512,-56.656,-0.470,-0.556,-0.417,0.545
0.035556,9.891,-0.390,-0.685,0.855,0.386,-0.081,-50.7,-19.5,-43.1,-63.851,-75.516,-56.655,-0.470,-0.556,-0.417,0.545
0.040000,9.804,-0.450,-0.670,1.247,0.183,0.244,-50.8,-19.6,-42.9,-63.849,-75.517,-56.653,-0.470,-0.556,-0.417,0.545
0.044444,9.804,-0.420,-0.686,1.899,-0.081,0.222,-50.8,-19.6,-42.7,-63.845,-75.520,-56.649,-0.470,-0.556,-0.417,0.545
0.048889,9.887,-0.474,-0.609,2.790,-0.526,0.115,-50.6,-19.3,-42.6,-63.838,-75.525,-56.641,-0.470,-0.556,-0.417,0.545
0.053333,9.851,-0.468,-0.629,3.267,-0.700,0.047,-50.5,-19.1,-42.5,-63.829,-75.533,-56.629,-0.470,-0.556,-0.417,0.545
0.057778,9.859,-0.510,-0.669,3.320,-0.964,0.146,-50.4,-19.0,-42.6,-63.821,-75.542,-56.615,-0.470,-0.556,-0.417,0.545
0.062222,9.790,-0.470,-0.728,2.972,-0.804,0.258,-50.4,-19.3,-42.9,-63.816,-75.551,-56.604,-0.470,-0.556,-0.416,0.545
0.066667,9.798,-0.398,-0.692,2.400,-0.603,0.029,-50.4,-19.5,-43.3,-63.813,-75.557,-56.600,-0.470,-0.556,-0.416,0.545
0.071111,9.849,-0.451,-0.651,1.773,-0.694,-0.374,-50.2,-19.6,-43.6,-63.811,-75.562,-56.598,-0.470,-0.556,-0.416,0.545
0.075556,9.889,-0.544,-0.712,1.024,-0.597,-0.470,-49.7,-19.4,-43.7,-63.815,-75.565,-56.597,-0.470,-0.556,-0.416,0.545
0.080000,9.863,-0.490,-0.631,0.007,0.222,-0.473,-49.2,-19.3,-43.9,-63.817,-75.564,-56.598,-0.470,-0.556,-0.416,0.545
0.084444,9.821,-0.429,-0.557,-0.695,0.404,-0.099,-48.9,-19.3,-43.6,-63.818,-75.564,-56.601,-0.470,-0.556,-0.416,0.545
0.088889,9.849,-0.447,-0.624,-1.153,0.304,-0.208,-49.0,-19.5,-42.9,-63.821,-75.562,-56.608,-0.470,-0.556,-0.416,0.545
0.093333,9.828,-0.460,-0.629,-1.986,0.121,-0.672,-49.0,-19.7,-42.2,-63.829,-75.559,-56.621,-0.470,-0.556,-0.417,0.545
0.097778,9.842,-0.416,-0.540,-2.470,-0.625,-0.571,-49.3,-19.8,-42.1,-63.839,-75.556,-56.637,-0.470,-0.556,-0.417,0.545
0.102222,9.875,-0.431,-0.510,-2.280,-1.066,0.017,-49.7,-19.9,-42.7,-63.850,-75.552,-56.648,-0.470,-0.556,-0.417,0.545
0.106667,9.875,-0.430,-0.553,-2.004,-1.269,0.437,-50.2,-19.9,-43.2,-63.860,-75.551,-56.654,-0.470,-0.556,-0.417,0.545
0.111111,9.880,-0.472,-0.587,-1.993,-0.991,0.042,-50.6,-20.0,-43.2,-63.866,-75.552,-56.658,-0.470,-0.556,-0.417,0.545
0.115556,9.847,-0.518,-0.613,-2.144,-0.749,-0.124,-51.0,-20.0,-42.7,-63.872,-75.553,-56.662,-0.470,-0.556,-0.417,0.545
0.120000,9.812,-0.494,-0.621,-2.161,-0.819,0.096,-51.4,-20.0,-42.2,-63.879,-75.553,-56.665,-0.470,-0.556,-0.417,0.545
0.124444,9.864,-0.501,-0.590,-1.919,-0.938,0.737,-51.3,-19.8,-42.5,-63.887,-75.551,-56.667,-0.470,-0.556,-0.417,0.544
0.128889,9.867,-0.486,-0.630,-1.252,-0.594,0.974,-50.9,-19.5,-43.3,-63.891,-75.551,-56.666,-0.470,-0.556,-0.417,0.544
0.133333,9.831,-0.493,-0.618,-0.424,-0.758,0.930,-50.4,-19.2,-44.1,-63.890,-75.552,-56.664,-0.470,-0.556,-0.417,0.544
0.137778,9.829,-0.529,-0.577,0.379,-0.845,0.976,-50.3,-19.2,-43.9,-63.888,-75.553,-56.661,-0.470,-0.556,-0.417,0.544
0.142222,9.855,-0.544,-0.582,0.632,-0.654,1.016,-50.4,-19.5,-43.0,-63.886,-75.553,-56.657,-0.470,-0.556,-0.417,0.545
0.146667,9.796,-0.483,-0.570,0.931,-0.610,0.997,-50.5,-19.7,-42.1,-63.887,-75.552,-56.654,-0.470,-0.556,-0.417,0.545
0.151111,9.820,-0.524,-0.589,1.180,-0.324,0.976,-50.6,-19.8,-41.9,-63.891,-75.548,-56.652,-0.470,-0.556,-0.417,0.545
0.155556,9.853,-0.560,-0.590,0.803,0.109,0.893,-50.6,-19.8,-41.9,-63.897,-75.543,-56.654,-0.470,-0.556,-0.417,0.545
0.160000,9.848,-0.540,-0.598,1.248,0.414,0.429,-50.6,-19.8,-41.9,-63.895,-75.541,-56.652,-0.470,-0.556,-0.417,0.545
0.164444,9.842,-0.423,-0.576,0.876,0.835,0.244,-50.0,-19.6,-42.1,-63.886,-75.540,-56.650,-0.470,-0.556,-0.417,0.545
0.168889,9.788,-0.441,-0.479,0.169,0.271,0.244,-49.3,-19.4,-42.5,-63.880,-75.539,-56.650,-0.470,-0.556,-0.417,0.545
0.173333,9.860,-0.468,-0.470,-0.314,0.494,0.154,-48.5,-19.1,-42.8,-63.877,-75.538,-56.649,-0.470,-0.556,-0.417,0.545
0.177778,9.896,-0.455,-0.540,-0.199,0.808,-0.198,-48.8,-19.0,-42.8,-63.877,-75.536,-56.652,-0.470,-0.556,-0.417,0.545
0.182222,9.814,-0.483,-0.549,-0.029,0.529,-0.073,-49.5,-19.0,-42.6,-63.880,-75.534,-56.655,-0.470,-0.556,-0.417,0.545
0.186667,9.758,-0.578,-0.487,-0.378,-0.140,0.047,-50.2,-18.9,-42.5,-63.884,-75.528,-56.658,-0.470,-0.556,-0.417,0.545
0.191111,9.806,-0.437,-0.597,-0.584,0.079,0.109,-50.2,-19.1,-42.8,-63.888,-75.527,-56.663,-0.470,-0.556,-0.417,0.545
0.195556,9.863,-0.416,-0.644,-0.317,0.183,-0.122,-49.9,-19.4,-43.2,-63.893,-75.526,-56.669,-0.470,-0.556,-0.417,0.545
0.200000,9.874,-0.480,-0.600,-0.443,0.084,0.214,-49.6,-19.7,-43.6,-63.897,-75.523,-56.673,-0.470,-0.556,-0.417,0.545
0.204444,9.799,-0.485,-0.672,-0.438,0.162,0.255,-49.7,-19.8,-43.4,-63.901,-75.523,-56.674,-0.470,-0.556,-0.417,0.545
0.208889,9.855,-0.464,-0.625,-0.683,0.490,0.090,-49.9,-19.9,-43.1,-63.902,-75.524,-56.675,-0.470,-0.556,-0.417,0.545
0.213333,9.677,-0.456,-0.641,-0.940,-0.283,0.373,-50.1,-19.9,-42.8,-63.903,-75.525,-56.675,-0.470,-0.556,-0.417,0.545
0.217778,9.747,-0.500,-0.609,-0.871,-0.374,0.374,-50.3,-20.0,-42.7,-63.902,-75.526,-56.673,-0.470,-0.556,-0.417,0.545
0.222222,9.869,-0.554,-0.570,-1.015,-0.795,0.473,-50.6,-20.0,-42.6,-63.901,-75.525,-56.671,-0.470,-0.556,-0.417,0.545
0.226667,9.939,-0.547,-0.556,-0.602,-1.289,0.216,-50.8,-20.0,-42.5,-63.900,-75.525,-56.668,-0.470,-0.556,-0.417,0.545
0.231111,9.807,-0.481,-0.560,-0.384,-1.287,0.514,-50.4,-20.1,-42.8,-63.897,-75.526,-56.667,-0.470,-0.556,-0.417,0.545
0.235556,9.898,-0.522,-0.727,0.417,-1.281,0.773,-50.0,-20.3,-43.2,-63.899,-75.531,-56.657,-0.470,-0.556,-0.417,0.545
0.240000,9.823,-0.545,-0.560,0.431,-1.395,0.226,-49.5,-20.5,-43.6,-63.898,-75.531,-56.654,-0.470,-0.556,-0.417,0.545
0.244444,9.852,-0.523,-0.677,0.657,-0.943,0.298,-49.6,-20.5,-43.3,-63.898,-75.533,-56.650,-0.470,-0.556,-0.417,0.545
0.248889,9.832,-0.476,-0.630,0.671,-1.032,-0.161,-49.7,-20.4,-43.0,-63.894,-75.536,-56.646,-0.470,-0.556,-0.417,0.545
0.253333,9.826,-0.511,-0.720,1.440,-0.565,0.231,-49.8,-20.3,-42.6,-63.888,-75.544,-56.634,-0.470,-0.556,-0.417,0.545
0.257778,9.812,-0.489,-0.559,0.806,-0.369,-0.535,-50.2,-19.8,-42.6,-63.883,-75.546,-56.630,-0.470,-0.556,-0.417,0.545
0.262222,9.992,-0.560,-0.551,0.733,0.119,-0.913,-50.7,-19.4,-42.7,-63.872,-75.550,-56.626,-0.470,-0.556,-0.417,0.545
0.266667,9.821,-0.466,-0.646,-0.548,0.124,-0.122,-51.1,-18.9,-42.7,-63.869,-75.553,-56.622,-0.470,-0.556,-0.417,0.545
0.271111,9.857,-0.612,-0.546,-0.438,0.377,-0.183,-50.8,-19.6,-42.5,-63.866,-75.553,-56.617,-0.470,-0.556,-0.417,0.545
0.275556,9.767,-0.558,-0.555,-0.972,0.917,-0.181,-50.4,-20.2,-42.2,-63.868,-75.544,-56.625,-0.470,-0.556,-0.417,0.545
0.280000,9.856,-0.507,-0.547,-0.835,0.973,-0.122,-50.1,-20.8,-42.0,-63.871,-75.536,-56.636,-0.470,-0.556,-0.417,0.545
0.284444,9.889,-0.589,-0.659,-0.373,0.897,-0.126,-50.4,-20.3,-42.0,-63.878,-75.533,-56.638,-0.470,-0.556,-0.417,0.545
0.288889,9.903,-0.509,-0.624,0.488,0.584,-0.161,-50.6,-19.7,-42.0,-63.873,-75.536,-56.631,-0.470,-0.556,-0.417,0.545
0.293333,9.855,-0.406,-0.632,0.530,0.166,0.138,-50.9,-19.2,-42.0,-63.864,-75.543,-56.624,-0.470,-0.556,-0.417,0.545
0.297778,9.852,-0.454,-0.540,0.988,-0.647,0.335,-51.1,-19.1,-42.0,-63.855,-75.547,-56.617,-0.470,-0.556,-0.417,0.545
0.302222,9.794,-0.479,-0.662,1.105,-0.400,0.610,-51.4,-19.0,-42.0,-63.854,-75.550,-56.611,-0.470,-0.556,-0.417,0.545
0.306667,9.857,-0.418,-0.633,1.137,-0.168,0.580,-51.6,-19.0,-42.0,-63.852,-75.551,-56.609,-0.470,-0.556,-0.416,0.545
0.311111,9.934,-0.513,-0.639,0.884,-0.044,0.308,-51.4,-19.5,-42.2,-63.856,-75.550,-56.610,-0.470,-0.556,-0.417,0.545
0.315556,9.870,-0.616,-0.622,0.287,-0.030,0.003,-51.2,-20.1,-42.4,-63.860,-75.547,-56.610,-0.470,-0.556,-0.416,0.545
0.320000,9.911,-0.507,-0.635,0.084,-0.579,0.336,-51.0,-20.5,-42.6,-63.865,-75.545,-56.613,-0.470,-0.556,-0.417,0.545
0.324444,9.806,-0.538,-0.706,-0.416,-0.743,0.194,-50.9,-20.5,-42.8,-63.872,-75.543,-56.616,-0.470,-0.556,-0.417,0.545
0.328889,9.811,-0.454,-0.643,-0.504,-0.747,0.290,-50.9,-20.4,-43.0,-63.876,-75.543,-56.619,-0.470,-0.556,-0.417,0.545
0.333333,9.836,-0.453,-0.702,-0.938,-0.488,0.476,-50.8,-20.3,-43.3,-63.873,-75.548,-56.615,-0.470,-0.556,-0.417,0.545
0.337778,9.804,-0.451,-0.682,-0.371,-0.126,0.506,-50.6,-19.7,-43.9,-63.869,-75.553,-56.609,-0.470,-0.556,-0.416,0.545
0.342222,9.878,-0.397,-0.660,-0.499,0.180,0.835,-50.4,-19.1,-44.4,-63.864,-75.558,-56.605,-0.470,-0.556,-0.416,0.545
0.346667,9.834,-0.356,-0.514,-0.093,-0.479,0.991,-50.2,-18.6,-44.7,-63.857,-75.561,-56.604,-0.470,-0.556,-0.416,0.545
0.351111,9.787,-0.287,-0.539,0.046,-1.236,1.115,-50.1,-18.6,-44.2,-63.852,-75.565,-56.603,-0.470,-0.556,-0.416,0.545
0.355556,9.876,-0.313,-0.467,0.216,-1.298,1.147,-49.9,-18.6,-43.7,-63.850,-75.567,-56.601,-0.470,-0.556,-0.416,0.545
0.360000,9.867,-0.370,-0.576,0.254,-1.223,0.491,-49.8,-18.6,-43.4,-63.857,-75.563,-56.611,-0.470,-0.556,-0.416,0.545
0.364444,9.902,-0.388,-0.485,-0.163,-0.808,0.147,-49.8,-18.6,-43.4,-63.864,-75.557,-56.623,-0.470,-0.556,-0.417,0.545
0.368889,9.913,-0.479,-0.439,-1.078,-0.493,0.266,-49.8,-18.6,-43.4,-63.873,-75.548,-56.634,-0.470,-0.556,-0.417,0.545
0.373333,9.924,-0.429,-0.609,-1.917,-0.521,0.810,-49.8,-18.9,-43.2,-63.889,-75.540,-56.646,-0.470,-0.556,-0.417,0.545
0.377778,9.906,-0.492,-0.645,-2.684,-0.612,0.815,-50.0,-19.7,-42.8,-63.908,-75.532,-56.659,-0.470,-0.556,-0.417,0.545
0.382222,9.850,-0.448,-0.629,-2.555,-0.059,0.341,-50.2,-20.5,-42.4,-63.924,-75.523,-56.675,-0.470,-0.556,-0.417,0.544
0.386667,9.841,-0.430,-0.602,-2.031,-0.070,-0.026,-50.4,-20.9,-42.3,-63.932,-75.519,-56.685,-0.470,-0.556,-0.417,0.544
0.391111,9.842,-0.441,-0.606,-1.591,-0.102,0.223,-51.0,-20.7,-42.8,-63.928,-75.523,-56.684,-0.470,-0.556,-0.417,0.544
0.395556,9.866,-0.465,-0.637,-0.649,0.174,0.869,-51.6,-20.5,-43.2,-63.919,-75.530,-56.675,-0.470,-0.556,-0.417,0.544
0.400000,9.763,-0.452,-0.603,0.119,0.109,0.624,-51.8,-20.4,-43.4,-63.911,-75.535,-56.668,-0.470,-0.556,-0.417,0.544
0.404444,9.816,-0.394,-0.633,0.513,0.133,0.466,-51.4,-20.4,-43.1,-63.907,-75.539,-56.665,-0.470,-0.556,-0.417,0.544
0.408889,9.792,-0.434,-0.575,0.626,0.087,0.482,-51.1,-20.4,-42.9,-63.903,-75.541,-56.663,-0.470,-0.556,-0.417,0.544
0.413333,9.816,-0.486,-0.520,0.440,0.387,0.411,-50.9,-20.4,-42.8,-63.898,-75.542,-56.660,-0.470,-0.556,-0.417,0.545
0.417778,9.834,-0.544,-0.502,-0.021,0.514,0.003,-50.9,-20.5,-42.8,-63.893,-75.542,-56.655,-0.470,-0.556,-0.417,0.545
0.422222,9.881,-0.573,-0.477,-0.094,0.047,-0.334,-51.0,-20.5,-42.9,-63.888,-75.542,-56.650,-0.470,-0.556,-0.417,0.545
0.426667,9.902,-0.518,-0.494,-0.177,-0.443,0.061,-50.8,-20.5,-42.8,-63.882,-75.542,-56.646,-0.470,-0.556,-0.417,0.545
0.431111,9.857,-0.513,-0.555,-0.721,-0.821,0.209,-50.4,-20.4,-42.5,-63.877,-75.544,-56.641,-0.470,-0.556,-0.417,0.545
0.435556,9.895,-0.505,-0.594,-0.794,-0.641,0.305,-50.0,-20.3,-42.3,-63.872,-75.547,-56.635,-0.470,-0.556,-0.417,0.545
0.440000,9.897,-0.510,-0.579,-0.646,-0.304,0.182,-49.9,-20.3,-42.3,-63.867,-75.549,-56.630,-0.470,-0.556,-0.417,0.545
0.444444,9.930,-0.410,-0.548,-0.726,-0.116,0.218,-50.0,-20.3,-42.5,-63.861,-75.552,-56.628,-0.470,-0.556,-0.417,0.545
0.448889,9.865,-0.376,-0.606,-0.446,-0.230,0.732,-50.1,-20.4,-42.7,-63.855,-75.557,-56.625,-0.470,-0.556,-0.417,0.545
0.453333,9.817,-0.422,-0.713,-0.103,-0.663,0.863,-50.2,-20.4,-42.9,-63.852,-75.562,-56.620,-0.470,-0.556,-0.417,0.545
0.457778,9.815,-0.496,-0.749,0.095,-0.476,0.327,-50.3,-20.4,-43.1,-63.850,-75.567,-56.614,-0.470,-0.556,-0.417,0.545
0.462222,9.781,-0.515,-0.681,-0.336,-0.253,0.272,-50.4,-20.4,-43.4,-63.847,-75.571,-56.608,-0.470,-0.556,-0.416,0.545
0.466667,9.800,-0.471,-0.686,-0.815,-0.053,0.391,-50.3,-20.2,-43.4,-63.844,-75.576,-56.603,-0.470,-0.556,-0.416,0.545
0.471111,9.889,-0.458,-0.709,-1.062,-0.172,0.587,-50.1,-19.8,-43.2,-63.841,-75.580,-56.599,-0.470,-0.556,-0.416,0.545
0.475556,9.955,-0.439,-0.699,-1.310,-0.742,0.432,-49.9,-19.5,-43.0,-63.839,-75.585,-56.595,-0.470,-0.556,-0.416,0.545
0.480000,9.959,-0.390,-0.729,-1.749,-0.401,0.321,-49.7,-19.3,-42.6,-63.840,-75.588,-56.596,-0.470,-0.556,-0.416,0.545
0.484444,9.863,-0.446,-0.722,-1.404,-0.609,0.484,-49.6,-19.2,-42.2,-63.843,-75.590,-56.597,-0.470,-0.556,-0.416,0.545
0.488889,9.786,-0.529,-0.765,-1.098,-0.236,0.429,-49.5,-19.1,-41.7,-63.848,-75.591,-56.596,-0.470,-0.556,-0.416,0.545
0.493333,9.767,-0.509,-0.712,-0.691,-0.530,0.366,-49.5,-19.1,-42.0,-63.852,-75.591,-56.597,-0.470,-0.556,-0.416,0.545
0.497778,9.829,-0.534,-0.612,-0.945,-0.190,0.532,-49.5,-19.2,-42.7,-63.856,-75.589,-56.598,-0.470,-0.556,-0.416,0.545
0.502222,9.879,-0.532,-0.581,-1.159,-0.005,0.145,-49.5,-19.3,-43.4,-63.858,-75.587,-56.600,-0.470,-0.556,-0.416,0.545
0.506667,9.831,-0.563,-0.542,-1.634,-0.147,-0.018,-49.5,-19.5,-43.7,-63.864,-75.582,-56.605,-0.470,-0.556,-0.416,0.545
0.511111,9.896,-0.562,-0.565,-1.304,0.388,0.000,-49.4,-19.7,-43.8,-63.869,-75.578,-56.609,-0.470,-0.556,-0.416,0.545
0.515556,9.907,-0.605,-0.562,-0.875,-0.373,-0.179,-49.4,-19.9,-43.9,-63.873,-75.573,-56.611,-0.470,-0.556,-0.416,0.545
0.520000,9.801,-0.544,-0.555,-1.294,-0.596,-0.199,-49.2,-19.7,-43.7,-63.877,-75.570,-56.613,-0.470,-0.556,-0.416,0.545
0.524444,9.826,-0.539,-0.570,-1.048,-0.549,-0.507,-49.0,-19.4,-43.3,-63.881,-75.567,-56.616,-0.470,-0.556,-0.417,0.545
0.528889,9.863,-0.627,-0.604,-0.162,-0.549,-0.704,-48.8,-19.1,-43.0,-63.884,-75.564,-56.614,-0.470,-0.556,-0.416,0.545
0.533333,9.783,-0.509,-0.545,0.540,-0.453,0.033,-49.4,-19.4,-42.9,-63.884,-75.563,-56.614,-0.470,-0.556,-0.416,0.545
0.537778,9.904,-0.473,-0.588,1.304,0.059,0.050,-50.2,-19.9,-42.8,-63.877,-75.564,-56.611,-0.470,-0.556,-0.416,0.545
0.542222,9.743,-0.509,-0.518,1.267,0.035,0.049,-51.0,-20.3,-42.8,-63.873,-75.562,-56.610,-0.470,-0.556,-0.416,0.545
0.546667,9.846,-0.553,-0.518,1.220,-0.050,-0.391,-50.9,-20.6,-42.9,-63.870,-75.561,-56.611,-0.470,-0.556,-0.416,0.545
0.551111,9.882,-0.516,-0.570,1.322,-0.214,-0.131,-50.7,-20.9,-43.0,-63.868,-75.561,-56.610,-0.470,-0.556,-0.416,0.545
0.555556,9.867,-0.508,-0.657,1.601,-0.503,0.405,-50.4,-21.1,-43.2,-63.863,-75.565,-56.600,-0.470,-0.556,-0.416,0.545
0.560000,9.835,-0.520,-0.571,1.385,-0.444,-0.196,-50.7,-20.5,-43.2,-63.853,-75.571,-56.592,-0.470,-0.556,-0.416,0.545
0.564444,9.839,-0.505,-0.614,1.663,0.053,-0.358,-51.0,-19.8,-43.3,-63.841,-75.577,-56.583,-0.470,-0.556,-0.416,0.545
0.568889,9.980,-0.516,-0.597,1.438,-0.149,0.338,-51.3,-19.1,-43.3,-63.829,-75.582,-56.570,-0.470,-0.556,-0.416,0.545
0.573333,9.864,-0.543,-0.667,1.074,-0.238,0.372,-51.3,-19.1,-43.4,-63.821,-75.588,-56.559,-0.470,-0.556,-0.416,0.545
0.577778,9.972,-0.472,-0.601,1.093,-0.077,0.032,-51.3,-19.1,-43.4,-63.813,-75.593,-56.551,-0.470,-0.556,-0.416,0.545
0.582222,9.886,-0.464,-0.669,0.985,-0.513,0.792,-51.3,-19.1,-43.4,-63.814,-75.595,-56.546,-0.470,-0.556,-0.416,0.545
0.586667,9.860,-0.478,-0.603,1.034,-0.893,0.224,-51.2,-19.1,-43.4,-63.816,-75.596,-56.545,-0.470,-0.556,-0.416,0.545
0.591111,10.037,-0.534,-0.694,0.979,-1.148,0.822,-51.1,-19.2,-43.5,-63.824,-75.597,-56.541,-0.470,-0.556,-0.416,0.545
0.595556,9.764,-0.504,-0.625,-0.025,-0.394,0.088,-51.0,-19.3,-43.6,-63.830,-75.594,-56.546,-0.470,-0.556,-0.416,0.545
0.600000,9.834,-0.475,-0.519,-0.180,0.112,0.598,-50.3,-19.5,-43.8,-63.833,-75.590,-56.551,-0.470,-0.556,-0.416,0.545
0.604444,9.859,-0.503,-0.574,0.119,-0.301,0.489,-49.5,-19.6,-43.9,-63.837,-75.587,-56.555,-0.470,-0.556,-0.416,0.545
0.608889,9.864,-0.474,-0.627,-0.673,0.305,0.123,-48.8,-19.8,-44.1,-63.841,-75.586,-56.558,-0.470,-0.556,-0.416,0.545
0.613333,9.837,-0.432,-0.658,-1.027,0.362,0.248,-49.5,-19.4,-43.6,-63.843,-75.587,-56.560,-0.470,-0.556,-0.416,0.545
0.617778,9.921,-0.488,-0.525,-0.438,0.104,0.466,-50.3,-19.0,-43.1,-63.844,-75.585,-56.562,-0.470,-0.556,-0.416,0.545
0.622222,9.883,-0.491,-0.464,-0.806,-0.483,-0.220,-51.0,-18.6,-42.6,-63.843,-75.582,-56.565,-0.470,-0.556,-0.416,0.545
0.626667,9.782,-0.554,-0.563,-1.092,-0.380,0.302,-50.8,-19.2,-42.4,-63.850,-75.577,-56.570,-0.470,-0.556,-0.416,0.545
0.631111,9.855,-0.530,-0.623,-1.010,-0.610,0.253,-50.7,-19.7,-42.3,-63.858,-75.572,-56.575,-0.470,-0.556,-0.416,0.545
0.635556,9.925,-0.566,-0.685,-1.474,-0.590,0.386,-50.6,-20.2,-42.2,-63.867,-75.569,-56.580,-0.470,-0.556,-0.416,0.545
0.640000,9.901,-0.508,-0.532,-1.569,-0.326,0.622,-50.8,-20.1,-42.6,-63.869,-75.566,-56.581,-0.470,-0.556,-0.416,0.545
0.644444,9.844,-0.381,-0.639,-1.305,-0.005,0.680,-51.0,-20.0,-43.1,-63.865,-75.570,-56.578,-0.470,-0.556,-0.416,0.545
0.648889,9.889,-0.401,-0.690,-0.525,-0.461,0.266,-51.2,-20.0,-43.4,-63.862,-75.575,-56.575,-0.470,-0.556,-0.416,0.545
0.653333,9.979,-0.402,-0.627,-0.777,0.191,0.476,-51.2,-20.1,-43.0,-63.860,-75.577,-56.576,-0.470,-0.556,-0.416,0.545
0.657778,9.855,-0.483,-0.633,-0.671,0.146,0.713,-51.3,-20.2,-42.5,-63.860,-75.578,-56.575,-0.470,-0.556,-0.416,0.545
0.662222,9.858,-0.565,-0.653,-0.739,-0.427,0.254,-51.3,-20.2,-42.2,-63.862,-75.578,-56.573,-0.470,-0.556,-0.416,0.545
0.666667,9.856,-0.437,-0.597,-1.109,-0.532,0.358,-51.0,-20.1,-42.4,-63.860,-75.580,-56.573,-0.470,-0.556,-0.416,0.545
0.671111,9.782,-0.548,-0.639,-1.057,-1.015,0.508,-50.8,-19.9,-42.7,-63.858,-75.581,-56.568,-0.470,-0.556,-0.416,0.545
0.675556,9.819,-0.498,-0.542,-0.574,-0.806,0.037,-50.6,-19.8,-42.9,-63.854,-75.583,-56.565,-0.470,-0.556,-0.416,0.545
0.680000,9.770,-0.518,-0.467,-0.440,-0.353,0.068,-50.9,-19.6,-42.9,-63.849,-75.582,-56.562,-0.470,-0.556,-0.416,0.545
0.684444,9.880,-0.514,-0.545,-0.365,-0.319,0.399,-51.1,-19.5,-42.9,-63.848,-75.581,-56.561,-0.470,-0.556,-0.416,0.545
0.688889,9.797,-0.469,-0.593,0.191,-0.178,0.052,-51.2,-19.4,-42.9,-63.847,-75.582,-56.561,-0.470,-0.556,-0.416,0.545
0.693333,9.826,-0.426,-0.567,0.732,0.320,0.457,-50.9,-19.5,-43.2,-63.847,-75.582,-56.563,-0.470,-0.556,-0.416,0.545
0.697778,9.939,-0.524,-0.515,0.986,0.129,-0.064,-50.6,-19.6,-43.4,-63.848,-75.578,-56.565,-0.470,-0.556,-0.416,0.545
0.702222,9.858,-0.593,-0.543,0.755,0.454,-0.261,-50.4,-19.7,-43.4,-63.850,-75.575,-56.566,-0.470,-0.556,-0.416,0.545
0.706667,9.814,-0.469,-0.532,0.888,0.366,-0.340,-50.3,-19.9,-43.1,-63.846,-75.573,-56.569,-0.470,-0.556,-0.416,0.545
0.711111,9.902,-0.473,-0.540,0.727,0.182,-0.482,-50.3,-20.1,-42.8,-63.847,-75.571,-56.571,-0.470,-0.556,-0.416,0.545
0.715556,9.815,-0.487,-0.557,0.797,-0.263,-0.668,-50.2,-20.3,-42.7,-63.848,-75.569,-56.573,-0.470,-0.556,-0.416,0.545
0.720000,9.785,-0.413,-0.658,0.611,-0.225,-0.753,-49.9,-20.6,-42.9,-63.849,-75.572,-56.574,-0.470,-0.556,-0.416,0.545
0.724444,9.874,-0.503,-0.647,0.447,-0.207,-0.609,-49.7,-20.8,-43.2,-63.847,-75.574,-56.571,-0.470,-0.556,-0.416,0.545
0.728889,9.870,-0.522,-0.664,0.172,-0.402,-0.445,-49.7,-20.8,-43.1,-63.845,-75.577,-56.566,-0.470,-0.556,-0.416,0.545
0.733333,9.783,-0.473,-0.647,-0.138,-0.289,-0.277,-50.3,-20.2,-42.3,-63.842,-75.580,-56.562,-0.470,-0.556,-0.416,0.545
0.737778,9.775,-0.436,-0.717,-0.200,-0.389,-0.238,-50.9,-19.7,-41.6,-63.839,-75.586,-56.557,-0.470,-0.556,-0.416,0.545
0.742222,9.769,-0.410,-0.670,-0.379,-0.475,-0.188,-51.3,-19.4,-41.4,-63.832,-75.592,-56.551,-0.470,-0.556,-0.416,0.545
0.746667,9.720,-0.443,-0.599,-0.553,-0.351,0.109,-51.4,-19.5,-42.2,-63.824,-75.597,-56.544,-0.470,-0.556,-0.416,0.545
0.751111,9.831,-0.447,-0.627,-0.660,-0.240,-0.153,-51.5,-19.6,-43.0,-63.819,-75.601,-56.540,-0.470,-0.556,-0.416,0.545
